Retained Space by Class
=======================

Total Heap:    24.50 MB
Total Classes:     2892
Total Objects:   205719

# Objects    Retained        Size  Class
----------------------------------------
     9692     9.09 MB     6.72 MB  java.lang.Class
      622     7.38 MB     7.38 MB  byte[]
        1     7.36 MB      104 B   com.oracle.svm.core.code.ImageCodeInfo
    52611     4.78 MB     1.20 MB  java.lang.String
    53018     3.86 MB     3.86 MB  char[]
      289     1.42 MB     9.03 KB  com.sun.org.apache.xml.internal.serializer.ToHTMLStream$Trie$Node
      289     1.41 MB   293.52 KB  com.sun.org.apache.xml.internal.serializer.ToHTMLStream$Trie$Node[]
     8031     1.09 MB   188.23 KB  com.oracle.svm.core.hub.AnnotatedSuperInfo
     1084     1.03 MB   220.03 KB  java.util.HashMap$Node[]
      551   998.66 KB    38.74 KB  java.util.HashMap
     5971   991.41 KB   233.24 KB  java.util.HashMap$Node
     6799   904.54 KB   637.41 KB  java.util.LinkedHashMap
     1114   767.17 KB   174.06 KB  java.lang.reflect.Method
      618   762.26 KB   587.94 KB  java.lang.String[]
     4804   713.11 KB   262.72 KB  sun.reflect.annotation.AnnotatedTypeFactory$AnnotatedTypeBaseImpl
    10471   678.48 KB   678.48 KB  int[]
     1394   651.05 KB   255.27 KB  java.lang.Object[]
      795   512.16 KB    31.05 KB  sun.reflect.annotation.AnnotationInvocationHandler
      487   486.91 KB    11.46 KB  java.lang.annotation.Annotation[]
     1238   437.78 KB    40.25 KB  java.lang.reflect.AnnotatedType[]
      631   405.72 KB    34.51 KB  java.util.concurrent.ConcurrentHashMap$Node
        5   401.45 KB      840 B   org.hsqldb.map.ValuePoolHashMap
      484   368.67 KB    14.75 KB  java.lang.reflect.Method[]
      180   364.95 KB    19.69 KB  java.util.concurrent.ConcurrentHashMap
       73   345.27 KB    15.27 KB  java.util.concurrent.ConcurrentHashMap$Node[]
     1069   338.65 KB    41.76 KB  java.util.ArrayList
      323   332.47 KB    17.66 KB  sun.reflect.generics.repository.MethodRepository
        1   310.13 KB       32 B   com.sun.org.apache.xml.internal.serializer.ToHTMLStream$Trie
      832   294.71 KB    19.50 KB  sun.reflect.generics.tree.ClassTypeSignature
      327   245.90 KB    12.77 KB  sun.reflect.generics.tree.MethodTypeSignature
       20   238.23 KB      800 B   java.util.PropertyResourceBundle
      146   220.92 KB    12.55 KB  com.oracle.svm.core.hub.DynamicHub$ReflectionData
     2345   213.27 KB    91.60 KB  com.oracle.svm.core.hub.GenericInfo
     2577   211.59 KB   100.66 KB  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
     1020   204.90 KB    31.88 KB  sun.reflect.generics.tree.SimpleClassTypeSignature
     1686   202.63 KB   105.38 KB  java.util.LinkedHashMap$Entry
     3117   183.52 KB    78.63 KB  java.lang.reflect.Type[]
       22   180.27 KB     6.53 KB  org.jboss.resteasy.spi.ResteasyProviderFactory
     1096   178.11 KB    59.94 KB  sun.reflect.annotation.AnnotatedTypeFactory$AnnotatedParameterizedTypeImpl
       10   168.36 KB      480 B   org.hsqldb.map.HashIndex
        1   168.34 KB       32 B   com.oracle.svm.core.jdk.LocalizationSupport
      776   130.93 KB    16.15 KB  sun.reflect.generics.tree.TypeArgument[]
        5   120.59 KB      320 B   org.jboss.resteasy.core.MediaTypeMap
        1   106.91 KB       32 B   org.hsqldb.lib.HsqlArrayList
      402   103.47 KB    12.56 KB  sun.reflect.generics.tree.Wildcard
       48   102.38 KB     1.50 KB  javax.validation.Constraint$$ProxyImpl
      295   100.60 KB     7.08 KB  sun.reflect.generics.tree.TypeSignature[]
     1474    98.97 KB    57.58 KB  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
      751    96.62 KB    17.59 KB  sun.reflect.generics.tree.FieldTypeSignature[]
      334    96.00 KB    13.05 KB  java.util.concurrent.CopyOnWriteArrayList
      114    85.58 KB     3.56 KB  java.lang.annotation.Target$$ProxyImpl
        1    83.59 KB       40 B   org.jboss.protean.arc.ArcContainerImpl
       51    80.48 KB     1.59 KB  java.lang.annotation.Repeatable$$ProxyImpl
